"zOTUID","Domain","Phylum","Class","Order","Family","Genus","Species"
"2ddea05cf07a2f14ad7b4977e078dfd8","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium"
"32048e6e76a7f6a2457496ae185f8271","Bacteria","Elusimicrobiota","Lineage_IIa","Lineage_IIa","Lineage_IIa","Lineage_IIa","uncultured_bacterium"
"51e906fcc54fc0836dcafdca01d48155","Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_bacterium"
"a5c506247d7373908c49f7d802ae90fc","Bacteria","Elusimicrobiota","Lineage_IIb","Lineage_IIb","Lineage_IIb","Lineage_IIb","uncultured_soil"
"b3089deec75afcd810522c0f53d85c11","Bacteria","Patescibacteria","Parcubacteria","UBA9983","UBA9983","UBA9983","Candidatus_Nomurabacteria"
"6c4be37e59e3954919c1132dd9c1786e","Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_bacterium"
"e7b7fe008ac49a9ce4f924b444800bc5","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Unclassified"
"8a06bbff6c4abc142dabbe088cf7ab09","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophales","Omnitrophales","uncultured_bacterium"
"15eba0606c3e5e435df6e344ce9b8f81","Bacteria","Elusimicrobiota","Elusimicrobiota","Elusimicrobiota","Elusimicrobiota","Elusimicrobiota","uncultured_Acidobacteria"
"3e7f6c7e1de3ef541f8fb4bd28f59150","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"fdd03e912211c01b904f51cc65751c3c","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Unclassified","Unclassified","Unclassified"
"7f60d237ceb030704d150ff5f8b613d8","Bacteria","Chloroflexi","Dehalococcoidia","Unclassified","Unclassified","Unclassified","Unclassified"
"a553b96fbd7fbbb2162b949fcd401610","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium"
"7e37e7aeb027e591b6aaec731c231771","Bacteria","Acidobacteriota","Subgroup_20","Subgroup_20","Subgroup_20","Subgroup_20","uncultured_bacterium"
"5a84158398537a7a363a019486244d69","Bacteria","Deferrisomatota","Defferrisomatia","Defferrisomatales","Defferrisomataceae","Deferrisoma","Unclassified"
"4530449457f324a2b18b50ffc79ce9af","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Unclassified","Unclassified","Unclassified","Unclassified"
"99b22d2dc72ffda3dfaf1b48b2d58648","Bacteria","Patescibacteria","Parcubacteria","Unclassified","Unclassified","Unclassified","Unclassified"
"c0a3580aff7ae4c074f7da3f720f5a51","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Unknown_Family","uncultured_bacterium"
"07817be59b7e95ed9db5c1ede12735ea","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unclassified","Unclassified"
"2a00c0be7988c7fdee2e53b11c974b24","Bacteria","Dependentiae","Babeliae","Babeliales","Unclassified","Unclassified","Unclassified"
"5adffdce1f9153a1f050d9be2bd74ce4","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"f4037691add74b11331cc3b91665f85c","Bacteria","Elusimicrobiota","Elusimicrobia","Lineage_IV","Lineage_IV","Lineage_IV","uncultured_Termite"
"edc94f1793eef85d2a9be92e9739b17c","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"06623d55eefe4417935c152a00604bec","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","uncultured","Rhabdochlamydiaceae_bacterium"
"4c21361a95d82e4bad75be75da6ef2c5","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Unclassified","Unclassified"
"cc96f63bf922d89426f3f1fb52ad1758","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus","metagenome"
"52f19bb06b6b572a1ccdb84b8b0c593f","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae","Unclassified"
"345cd2572569e8fa7c7044a227d9f651","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","uncultured_bacterium"
"1bff3c388f7ca3d5bdd1ac9442321de5","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Unclassified"
"54e8c6ea0192f4c0908d1994f2ccf16a","Archaea","Altiarchaeota","Altiarchaeia","Altiarchaeales","Altiarchaeaceae","Candidatus_Altiarchaeum","uncultured_euryarchaeote"
"0d452d0a990861f34fd41afec41e0002","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"f00f9b2cdee7d800434efc2b6af10917","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus","Unclassified"
"10824757b1b7b49cf1b7962c4ce81540","Bacteria","Patescibacteria","Parcubacteria","Unclassified","Unclassified","Unclassified","Unclassified"
