"","sample1","sample2","V.select","H.select","Disp.limit","Disp.homo","Undomin"
"33","GW694.33.12.3.12.02","GW654.0.1.7.13.02",0.108055555555556,0.0075462962962963,0.555509259259259,0.00180555555555556,0.327083333333333
"34","GW162.37.2.19.13.02","GW654.0.1.7.13.02",0.204953703703704,0.085787037037037,0.394351851851852,0.0125,0.302407407407407
"35","GW086.25.12.3.12.02","GW654.0.1.7.13.02",0.110833333333333,0.049537037037037,0.520555555555556,0.00481481481481482,0.314259259259259
"36","GW736.14.12.3.12.02","GW654.0.1.7.13.02",0.0914814814814815,0.0672222222222222,0.61,0.00967592592592593,0.22162037037037
"37","GW531.83.11.28.12.02","GW654.0.1.7.13.02",0.0871759259259259,0.103240740740741,0.548518518518519,0.00708333333333333,0.253981481481481
"38","FW301.81.2.20.13.02","GW654.0.1.7.13.02",0.106064814814815,0.100231481481481,0.541666666666667,0.0783796296296296,0.173657407407407
"39","GW803.31.1.23.13.02","GW654.0.1.7.13.02",0.514027777777778,0.0516666666666667,0.135648148148148,0.00328703703703704,0.29537037037037
"40","GW384.12.17.12.02","GW654.0.1.7.13.02",0.170138888888889,0.0656481481481481,0.388148148148148,0.00648148148148148,0.369583333333333
"41","GW199.42.1.28.13.02","GW654.0.1.7.13.02",0.0230555555555556,0.18787037037037,0.500092592592593,0.029537037037037,0.259444444444444
"42","GW704.5.12.17.12.02","GW654.0.1.7.13.02",0.0381481481481481,0.0818518518518519,0.541388888888889,0.0116666666666667,0.326944444444444
"43","GW764.23.1.11.13.02","GW654.0.1.7.13.02",0.182175925925926,0.0810648148148148,0.427592592592593,0.0101851851851852,0.298981481481481
"44","GW085.58.12.3.12.02","GW654.0.1.7.13.02",0.0773148148148148,0.0517592592592593,0.527685185185185,0.0179166666666667,0.325324074074074
"45","GW641.30.1.23.13.02","GW654.0.1.7.13.02",0.0938888888888889,0.170277777777778,0.426435185185185,0.0123148148148148,0.297083333333333
"46","GW929.2.11.13.02","GW654.0.1.7.13.02",0.113703703703704,0.137685185185185,0.486759259259259,0.00787037037037037,0.253981481481481
"47","GW706.96.12.17.12.02","GW654.0.1.7.13.02",0.0795833333333333,0.0573148148148148,0.475324074074074,0.0168518518518519,0.370925925925926
