"ID","Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Domain","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","TopTaxon.Species","Domain.maxNamed","Domain.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent","Species.maxNamed","Species.maxNamed.Percent"
"30","Bin30",0.00117317867317867,"New.ReferenceOTU261521",0.329575021682567,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","Unclassified","Bacteria",1,"Gemmatimonadota",0.996530789245447,"Gemmatimonadetes",0.990459670424978,"Gemmatimonadales",0.990459670424978,"Gemmatimonadaceae",0.990459670424978,"uncultured",0.990459670424978,"uncultured_bacterium",0.237640936686904
"31","Bin31",0.00518416768416768,"1062748",0.29558390578999,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Unclassified","Bacteria",1,"Actinobacteriota",1,"Actinobacteria",0.983120706575074,"Corynebacteriales",0.433366045142296,"Sporichthyaceae",0.325809617271835,"Mycobacterium",0.318351324828263,"uncultured_bacterium",0.193719332679097
"32","Bin32",0.0075997150997151,"1081815",0.784977908689249,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Unclassified","Unclassified","Bacteria",1,"Actinobacteriota",1,"Actinobacteria",1,"Micrococcales",0.996518944972553,"Micrococcaceae",0.888740125853528,"Paenarthrobacter",0.0739054759673316,"uncultured_bacterium",0.012987012987013
"33","Bin33",0.000783475783475783,"811263",0.155844155844156,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","metagenome","Bacteria",1,"Actinobacteriota",1,"Thermoleophilia",0.998701298701299,"Gaiellales",0.998701298701299,"uncultured",0.502597402597403,"uncultured",0.502597402597403,"uncultured_bacterium",0.253246753246753
"34","Bin34",0.00165547415547416,"968085",0.264904732636755,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","uncultured","Unclassified","Bacteria",1,"Actinobacteriota",1,"Thermoleophilia",0.923171481253842,"Solirubrobacterales",0.915181315304241,"67-14",0.484941610325753,"67-14",0.484941610325753,"uncultured_Conexibacter",0.208358942839582
"35","Bin35",0.00457875457875458,"588530",0.866444444444444,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group","Unclassified","Bacteria",1,"Actinobacteriota",0.999111111111111,"Acidimicrobiia",0.998666666666667,"Microtrichales",0.926888888888889,"Ilumatobacteraceae",0.904666666666667,"CL500-29_marine_group",0.904,"metagenome",0.00933333333333333
"36","Bin36",0.000457875457875458,"New.ReferenceOTU124030",0.3,"Bacteria","Actinobacteriota","Acidimicrobiia","uncultured","uncultured","uncultured","uncultured_bacterium","Bacteria",1,"Actinobacteriota",0.957777777777778,"Acidimicrobiia",0.742222222222222,"uncultured",0.648888888888889,"uncultured",0.688888888888889,"uncultured",0.72,"uncultured_bacterium",0.42
"37","Bin37",0.0113512413512414,"136638",0.616887773395482,"Bacteria","WPS-2","WPS-2","WPS-2","WPS-2","WPS-2","uncultured_bacterium","Bacteria",1,"WPS-2",0.991036213696665,"WPS-2",0.991036213696665,"WPS-2",0.991036213696665,"WPS-2",0.991036213696665,"WPS-2",0.991036213696665,"uncultured_bacterium",0.982430978845464
"38","Bin38",0.0137311762311762,"579608",0.695516858095591,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_salivarius","Bacteria",1,"Firmicutes",0.777399036680252,"Bacilli",0.777399036680252,"Lactobacillales",0.776065209336791,"Streptococcaceae",0.722341608002964,"Streptococcus",0.722119303445721,"Streptococcus_salivarius",0.697814005187106
"39","Bin39",0.000380545380545381,"New.ReferenceOTU185974",0.13903743315508,"Bacteria","Cyanobacteria","Vampirivibrionia","Caenarcaniphilales","Caenarcaniphilales","Caenarcaniphilales","uncultured_bacterium","Bacteria",1,"Cyanobacteria",1,"Vampirivibrionia",1,"Caenarcaniphilales",0.775401069518717,"Caenarcaniphilales",0.775401069518717,"Caenarcaniphilales",0.775401069518717,"uncultured_bacterium",0.831550802139037
"40","Bin40",0.000373422873422873,"4440191",0.160762942779292,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia_hongkongensis","Bacteria",1,"Armatimonadota",0.566757493188011,"Fimbriimonadia",0.476839237057221,"Fimbriimonadales",0.476839237057221,"Fimbriimonadaceae",0.435967302452316,"Fimbriimonadaceae",0.433242506811989,"uncultured_bacterium",0.449591280653951
"41","Bin41",0.00102360602360602,"New.ReferenceOTU69001",0.139165009940358,"Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","PRD18C08","PRD18C08","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",0.864811133200795,"Lentisphaeria",0.864811133200795,"Victivallales",0.818091451292246,"PRD18C08",0.658051689860835,"PRD18C08",0.658051689860835,"uncultured_bacterium",0.858846918489066
"42","Bin42",0.00566442816442816,"149144",0.27034309322795,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta","Spirochaeta_sp.","Bacteria",1,"Spirochaetota",0.940901742410634,"Spirochaetia",0.904436860068259,"Spirochaetales",0.904436860068259,"Spirochaetaceae",0.904436860068259,"Spirochaeta",0.901383150709538,"Spirochaeta_sp.",0.851266391234058
"43","Bin43",0.00238400488400488,"4480075",0.324370465215536,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","uncultured","uncultured_Treponema","Bacteria",1,"Spirochaetota",1,"Spirochaetia",1,"Spirochaetales",1,"Spirochaetaceae",1,"uncultured",0.96969696969697,"uncultured_Treponema",0.456252667520273
"44","Bin44",0.0018030118030118,"621636",0.0931151241534989,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","Omnitrophica_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"Omnitrophica_bacterium",0.63882618510158
"45","Bin45",0.00335063085063085,"New.ReferenceOTU106069",0.251442453689645,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","Unclassified","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"Omnitrophica_bacterium",0.433647130276344
"46","Bin46",0.00243284493284493,"747632",0.470932664157256,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",0.81263069845253,"Candidatus_Omnitrophus",0.81263069845253,"uncultured_bacterium",0.949393559180259
"47","Bin47",0.00276048026048026,"New.ReferenceOTU1086",0.154441577589384,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",0.959085882786583,"Omnitrophia",0.959085882786583,"Omnitrophales",0.959085882786583,"Omnitrophaceae",0.959085882786583,"Candidatus_Omnitrophus",0.959085882786583,"uncultured_bacterium",0.742720235901216
"48","Bin48",0.00264550264550265,"New.ReferenceOTU199864",0.178076923076923,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",0.485384615384615,"Candidatus_Omnitrophus",0.485384615384615,"uncultured_bacterium",0.621923076923077
"49","Bin49",0.00158323158323158,"New.ReferenceOTU270172",0.279562982005141,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"uncultured_bacterium",1
"50","Bin50",0.00211029711029711,"New.ReferenceOTU32374",0.198167791706847,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"uncultured_bacterium",1
"51","Bin51",0.000752950752950753,"New.ReferenceOTU231164",0.321621621621622,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"uncultured_bacterium",1
"52","Bin52",0.00433760683760684,"New.ReferenceOTU75228",0.0985221674876847,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","Omnitrophica_WOR_2","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"uncultured_bacterium",0.901477832512315
"53","Bin53",0.00170940170940171,"New.ReferenceOTU60807",0.131547619047619,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"uncultured_bacterium",1
"54","Bin54",0.00147741147741148,"New.ReferenceOTU103269",0.110192837465565,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"uncultured_bacterium",1
"55","Bin55",0.00401098901098901,"34401",0.45712836123795,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",0.996448503297818,"Omnitrophia",0.996448503297818,"Omnitrophales",0.996448503297818,"Omnitrophaceae",0.996448503297818,"Candidatus_Omnitrophus",0.996448503297818,"uncultured_bacterium",0.919330289193303
"56","Bin56",0.00169006919006919,"New.ReferenceOTU166807",0.143889223359422,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"uncultured_bacterium",1
"57","Bin57",0.00217541717541718,"New.ReferenceOTU6332",0.21889616463985,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"uncultured_bacterium",0.703928905519177
"58","Bin58",0.00408221408221408,"New.ReferenceOTU141544",0.518943170488534,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",0.998504486540379,"Candidatus_Omnitrophus",0.998504486540379,"uncultured_bacterium",0.998504486540379
"59","Bin59",0.00189255189255189,"New.ReferenceOTU246755",0.0989247311827957,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_Firmicutes","Bacteria",1,"Verrucomicrobiota",0.998387096774194,"Omnitrophia",0.998387096774194,"Omnitrophales",0.998387096774194,"Omnitrophaceae",0.998387096774194,"Candidatus_Omnitrophus",0.998387096774194,"uncultured_Firmicutes",0.544086021505376
"60","Bin60",0.000725478225478225,"New.ReferenceOTU130453",0.129032258064516,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"uncultured_Firmicutes",0.670406732117812
"61","Bin61",0.00193121693121693,"New.ReferenceOTU184787",0.338777660695469,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_Firmicutes","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophaceae",1,"Candidatus_Omnitrophus",1,"uncultured_Firmicutes",0.849315068493151
"62","Bin62",0.00105820105820106,"New.ReferenceOTU33905",0.156730769230769,"Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophales","Omnitrophales","uncultured_bacterium","Bacteria",1,"Verrucomicrobiota",1,"Omnitrophia",1,"Omnitrophales",1,"Omnitrophales",0.834615384615385,"Omnitrophales",0.834615384615385,"uncultured_bacterium",0.830769230769231
