Index,Type,Unit,Description
Mo95_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Mo98_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Ru_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Rh_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Pd_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Cd106_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Cd111_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Sn120_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Sb_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Te_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Cs_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Ba_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
La_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Ce_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Pr_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Nd_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Sm_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Eu_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Gd_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Dy_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Ho_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Er_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Tm_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Yb_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Lu_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Hf_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Ta_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
W_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Re_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Pt_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Tl_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Pb208_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
Th_Plt,NUMBER,然,"Pellet metal concentration in each sample, analyzed by ICPMS."
