"","sample1","sample2","V.select","H.select","Disp.limit","Disp.homo","Undomin"
"340","X14P19NNN1","X11P16NHN1",0.00315,0.315,0.0165833333333333,0.0282833333333333,0.636983333333333
"341","X14P1NHN1","X11P16NHN1",0.00953333333333333,0.360383333333333,0.0143166666666667,0,0.615766666666667
"342","X14P20NHN1","X11P16NHN1",0.00491666666666667,0.374266666666667,0.00413333333333333,0.000566666666666667,0.616116666666667
"343","X14P23NNN1","X11P16NHN1",0.00206666666666667,0.362433333333333,0.0270833333333333,0.00116666666666667,0.60725
"344","X14P3NNN1","X11P16NHN1",0.0102333333333333,0.378483333333333,0.0538333333333333,0.000383333333333333,0.557066666666667
"345","X14P6NNN1","X11P16NHN1",0.0028,0.339983333333333,0.06615,0.000233333333333333,0.590833333333333
"346","X11P1NHN1","X11P19NNN1",0.00491666666666667,0.331633333333333,0.000816666666666667,0.0089,0.653733333333333
"347","X11P20NHN1","X11P19NNN1",0.00126666666666667,0.385083333333333,0.0142166666666667,0.00911666666666667,0.590316666666667
"348","X11P23NNN1","X11P19NNN1",0.00146666666666667,0.3369,0.00131666666666667,0.00618333333333333,0.654133333333333
"349","X11P3NNN1","X11P19NNN1",0.00148333333333333,0.352166666666667,0.0204833333333333,0.0057,0.620166666666667
"350","X11P6NNN1","X11P19NNN1",0.00135,0.361616666666667,0.0197833333333333,0.00415,0.6131
"351","X12P10NHN1","X11P19NNN1",0.0011,0.34415,0.0273833333333333,0.01395,0.613416666666667
"352","X12P16NHN1","X11P19NNN1",0.00311666666666667,0.408083333333333,0.0197,0.0128833333333333,0.556216666666667
"353","X12P19NNN1","X11P19NNN1",0.00305,0.46875,0.00336666666666667,0.0093,0.515533333333333
"354","X12P1NHN1","X11P19NNN1",0.00291666666666667,0.482166666666667,0.034,0.00951666666666667,0.4714
"355","X12P20NHN1","X11P19NNN1",0.00361666666666667,0.416833333333333,0.04465,0.000766666666666667,0.534133333333333
"356","X12P23NNN1","X11P19NNN1",0.00533333333333333,0.376416666666667,0.00316666666666667,0.05025,0.564833333333333
"357","X12P3NNN1","X11P19NNN1",0.0016,0.4252,0.0163833333333333,0.00166666666666667,0.55515
"358","X12P6NNN1","X11P19NNN1",0.00735,0.358366666666667,0.0107333333333333,9e-04,0.62265
"359","X13P10NHN1","X11P19NNN1",0.00165,0.403,0.01605,0.00263333333333333,0.576666666666667
"360","X13P16NHN1","X11P19NNN1",0.00423333333333333,0.357883333333333,0.00575,0.00035,0.631783333333333
"361","X13P19NNN1","X11P19NNN1",0.00318333333333333,0.339033333333333,0.0493,0.000266666666666667,0.608216666666667
"362","X13P1NHN1","X11P19NNN1",0.0014,0.404166666666667,0.07725,0.00145,0.515733333333333
